time_us,abag_bias,abag_gain,abag_control,abag_ek_bar,local_vz
1197957, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1208215, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1218333, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1228577, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1238700, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1248970, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1259086, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1269335, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1279580, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1289668, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1299786, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1309870, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1320079, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1330246, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1340326, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1350438, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1360554, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1370668, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1380788, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1390899, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1400983, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1411104, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1421224, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1431344, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1441464, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1451693, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1461793, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1471908, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1481991, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1492183, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1502307, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1512549, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1522676, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1532931, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1543172, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1553382, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1563622, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1573684, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1583940, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1594058, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1604272, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1614396, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1624660, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1634779, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1645037, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
1655311, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000
